AnimalID, Sex, Matril, BGroup, DateOfB, Pedigree
"V96","m","Q1083","Q",1/6/1991 0:00:00,6
"X56","m","Q1083","S",1/7/1991 0:00:00,6
"X60","f","Q1083","S",1/7/1991 0:00:00,6
"i91C12","f","Q1083","R",1/8/1991 0:00:00,5
"i91K46","f","Q1083","Q",1/10/1991 0:00:00,6
"X35","f","Q1083","R",1/10/1991 0:00:00,5
"X00","m","Q1083","Q",1/11/1991 0:00:00,6
"X57","m","Q1083","S",1/15/1991 0:00:00,5
"X03","m","Q1083","Q",1/15/1991 0:00:00,5
"X13","m","Q1083","Q",1/15/1991 0:00:00,5
"i91D89","m","Q1083","Q",1/15/1991 0:00:00,5
"X65","m","Q1083","Q",1/15/1991 0:00:00,6
"X78","f","Q1083","S",1/22/1991 0:00:00,5
"X01","m","Q1083","Q",1/31/1991 0:00:00,6
"X61","m","Q1083","S",2/8/1991 0:00:00,5
"X09","m","Q1083","Q",2/8/1991 0:00:00,6
"X58","m","Q1083","S",2/13/1991 0:00:00,5
"X79","m","Q1083","R",2/13/1991 0:00:00,6
"X34","f","Q1083","R",2/13/1991 0:00:00,6
"V93","m","Q1083","Q",2/17/1991 0:00:00,5
"X05","f","Q1083","Q",2/19/1991 0:00:00,4
"X55","f","Q1083","S",3/5/1991 0:00:00,6
"X26","f","Q1083","Q",3/18/1991 0:00:00,5
"i91233","f","Q1083","Q",4/8/1991 0:00:00,4
"30A","f","Q1083","Q",11/28/1991 0:00:00,5
"i92233","f","Q1083","Q",11/28/1991 0:00:00,4
"Z82","f","Q1083","S",12/4/1991 0:00:00,6
"Z93","m","Q1083","R",12/5/1991 0:00:00,5
"i92J71","f","Q1083","S",12/6/1991 0:00:00,7
"Z83","m","Q1083","S",12/10/1991 0:00:00,6
"Z36","m","Q1083","Q",12/10/1991 0:00:00,5
"i92H57","m","Q1083","R",12/14/1991 0:00:00,6
"i92L21","m","Q1083","Q",12/16/1991 0:00:00,6
"Z92","f","Q1083","S",12/17/1991 0:00:00,5
"Z39","m","Q1083","Q",12/17/1991 0:00:00,5
"i92I95","f","Q1083","S",12/19/1991 0:00:00,6
"Z27","f","Q1083","Q",12/22/1991 0:00:00,6
"i92K46","f","Q1083","Q",12/27/1991 0:00:00,6
"i92B64","m","Q1083","S",12/29/1991 0:00:00,5
"i92O84","f","Q1083","Q",12/29/1991 0:00:00,7
"Z73","f","Q1083","S",12/30/1991 0:00:00,5
"i92I72","f","Q1083","R",12/31/1991 0:00:00,6
"Z81","f","Q1083","S",1/1/1992 0:00:00,6
"i92L37","m","Q1083","S",1/1/1992 0:00:00,7
"i92D89","f","Q1083","Q",1/2/1992 0:00:00,5
"Z74","f","Q1083","S",1/3/1992 0:00:00,7
"Z90","m","Q1083","S",1/4/1992 0:00:00,5
"Z52","f","Q1083","R",1/5/1992 0:00:00,7
"Z76","m","Q1083","S",1/5/1992 0:00:00,6
"Z89","m","Q1083","R",1/6/1992 0:00:00,6
"Z19","m","Q1083","R",1/7/1992 0:00:00,5
"Z35","f","Q1083","Q",1/7/1992 0:00:00,6
"Z29","m","Q1083","Q",1/7/1992 0:00:00,6
"Z75","f","Q1083","S",1/9/1992 0:00:00,5
"Z86","f","Q1083","R",1/10/1992 0:00:00,7
"26A","m","Q1083","Q",1/12/1992 0:00:00,5
"Z91","m","Q1083","S",1/13/1992 0:00:00,5
"Z44","m","Q1083","Q",1/13/1992 0:00:00,6
"Z30","f","Q1083","Q",1/14/1992 0:00:00,6
"Z85","m","Q1083","R",1/17/1992 0:00:00,6
"06A","f","Q1083","S",1/25/1992 0:00:00,6
"08A","m","Q1083","R",1/27/1992 0:00:00,5
"Z41","m","Q1083","Q",2/3/1992 0:00:00,6
"Z99","f","Q1083","S",2/4/1992 0:00:00,6
"Z24","m","Q1083","Q",2/12/1992 0:00:00,5
"Z33","m","Q1083","Q",2/13/1992 0:00:00,6
"Z45","m","Q1083","Q",2/18/1992 0:00:00,6
"i92K81","m","Q1083","R",2/24/1992 0:00:00,6
"i92N73","f","Q1083","Q",2/27/1992 0:00:00,7
"27A","f","Q1083","Q",3/4/1992 0:00:00,6
"22A","m","Q1083","Q",3/5/1992 0:00:00,4
"01A","m","Q1083","R",3/6/1992 0:00:00,5
"i92470","m","Q1083","S",3/11/1992 0:00:00,4
"Z72","f","Q1083","S",3/13/1992 0:00:00,6
"Z77","m","Q1083","S",3/30/1992 0:00:00,5
"Z84","f","Q1083","Q",3/30/1992 0:00:00,6
"Z71","m","Q1083","S",3/31/1992 0:00:00,7
"i93D89","f","Q1083","Q",11/10/1992 0:00:00,5
"39A","f","Q1083","S",11/22/1992 0:00:00,5
"52A","f","Q1083","R",11/24/1992 0:00:00,6
"i93I22","f","Q1083","Q",11/25/1992 0:00:00,6
"i93K48","f","Q1083","Q",11/30/1992 0:00:00,6
"40A","f","Q1083","S",12/1/1992 0:00:00,5
"i93B13","m","Q1083","Q",12/5/1992 0:00:00,5
"47B","m","Q1083","R",12/7/1992 0:00:00,6
"i93G19","m","Q1083","Q",12/8/1992 0:00:00,5
"86A","m","Q1083","R",12/10/1992 0:00:00,5
"i93I59","f","Q1083","Q",12/14/1992 0:00:00,6
"45A","m","Q1083","S",12/15/1992 0:00:00,6
"42A","f","Q1083","S",12/16/1992 0:00:00,4
"i93L21","f","Q1083","Q",12/16/1992 0:00:00,6
"48A","m","Q1083","S",12/19/1992 0:00:00,6
"36B","f","Q1083","R",12/22/1992 0:00:00,6
"i93G04","f","Q1083","Q",12/22/1992 0:00:00,6
"i93H56","m","Q1083","Q",12/23/1992 0:00:00,6
"i93O92","f","Q1083","Q",12/23/1992 0:00:00,6
"94A","f","Q1083","S",12/27/1992 0:00:00,7
"i93I34","f","Q1083","Q",12/28/1992 0:00:00,6
"i93K62","f","Q1083","Q",12/29/1992 0:00:00,5
"i93N73","m","Q1083","Q",12/30/1992 0:00:00,7
"i93O36","u","Q1083","S",12/31/1992 0:00:00,7
"47A","f","Q1083","S",1/1/1993 0:00:00,6
"46A","m","Q1083","S",1/3/1993 0:00:00,5
"43A","m","Q1083","S",1/3/1993 0:00:00,5
"i93B11","m","Q1083","Q",1/3/1993 0:00:00,5
"51B","f","Q1083","S",1/4/1993 0:00:00,6
"32B","m","Q1083","S",1/8/1993 0:00:00,6
"98A","m","Q1083","S",1/10/1993 0:00:00,5
"i93L15","m","Q1083","Q",1/11/1993 0:00:00,5
"i93L17","m","Q1083","Q",1/11/1993 0:00:00,6
"i93R51","u","Q1083","S",1/13/1993 0:00:00,6
"53B","f","Q1083","S",1/15/1993 0:00:00,5
"33A","m","Q1083","R",1/15/1993 0:00:00,6
"i93R87","m","Q1083","Q",1/18/1993 0:00:00,6
"i93953","f","Q1083","S",1/20/1993 0:00:00,5
"33B","m","Q1083","S",1/21/1993 0:00:00,6
"38B","m","Q1083","R",1/23/1993 0:00:00,5
"92A","m","Q1083","R",1/25/1993 0:00:00,6
"i93K46","m","Q1083","Q",1/27/1993 0:00:00,6
"i93S21","m","Q1083","Q",1/27/1993 0:00:00,7
"84A","f","Q1083","R",1/29/1993 0:00:00,7
"i93S52","f","Q1083","Q",1/29/1993 0:00:00,7
"i93I58","m","Q1083","Q",2/2/1993 0:00:00,6
"44A","m","Q1083","S",2/3/1993 0:00:00,5
"25B","m","Q1083","R",2/5/1993 0:00:00,6
"46B","f","Q1083","S",3/6/1993 0:00:00,6
"45B","m","Q1083","S",3/7/1993 0:00:00,6
"i93O84","f","Q1083","Q",3/8/1993 0:00:00,7
"i93D81","f","Q1083","Q",3/9/1993 0:00:00,6
"93A","f","Q1083","R",3/12/1993 0:00:00,5
"41A","m","Q1083","S",3/20/1993 0:00:00,6
"87A","m","Q1083","R",3/21/1993 0:00:00,5
"52B","m","Q1083","S",3/21/1993 0:00:00,7
"i93A41","m","Q1083","Q",3/30/1993 0:00:00,5
"34A","f","Q1083","R",4/10/1993 0:00:00,5
"90B","m","Q1083","R",11/16/1993 0:00:00,5
"i94I34","f","Q1083","Q",11/20/1993 0:00:00,6
"09C","m","Q1083","R",11/21/1993 0:00:00,6
"91B","m","Q1083","R",11/24/1993 0:00:00,7
"83C","f","Q1083","S",11/25/1993 0:00:00,7
"i94N75","f","Q1083","Q",11/26/1993 0:00:00,6
"i94O91","m","Q1083","Q",11/29/1993 0:00:00,5
"i94O93","m","Q1083","Q",12/5/1993 0:00:00,6
"05C","m","Q1083","S",12/6/1993 0:00:00,5
"i94741","m","Q1083","Q",12/9/1993 0:00:00,4
"i94D89","m","Q1083","Q",12/10/1993 0:00:00,5
"85B","m","Q1083","S",12/11/1993 0:00:00,7
"i94A41","f","Q1083","Q",12/15/1993 0:00:00,5
"i94I22","f","Q1083","Q",12/17/1993 0:00:00,6
"i94I59","f","Q1083","Q",12/17/1993 0:00:00,6
"i94K48","f","Q1083","Q",12/18/1993 0:00:00,6
"38C","m","Q1083","S",12/19/1993 0:00:00,7
"04C","f","Q1083","R",12/20/1993 0:00:00,7
"i94G04","m","Q1083","Q",12/20/1993 0:00:00,6
"83B","m","Q1083","S",12/21/1993 0:00:00,7
"i94L21","f","Q1083","Q",12/21/1993 0:00:00,6
"84B","m","Q1083","S",12/22/1993 0:00:00,6
"01C","m","Q1083","R",12/24/1993 0:00:00,6
"i94V08","f","Q1083","Q",12/28/1993 0:00:00,7
"72C","f","Q1083","S",12/29/1993 0:00:00,6
"i94K62","f","Q1083","Q",12/29/1993 0:00:00,5
"i94R81","m","Q1083","Q",12/29/1993 0:00:00,5
